Country,Detailed Locations,Began,Ended,Duration,Dead,Displaced,Damage (USD),Main cause,Severity,Affected_Area,Magnitude,Longitude,Latitude
Sudan,"Sudan States: River Nile, Sennar, Kassala, South Darfur, Khartoum, Northern, Gezira, Blue Nile, Upper Nile. cities/towns: Singa, Atbara, Khartoum, Juba, Shinja and Wad Madani. Blue Nile and Nile Rivers. Southern Ethiopia - Gambella regional state, Districts: Kuraz, Gambella. Rivers: Omo, Baro Northeastern Ethiopia - Awash River in Afar country",06-Aug-01,13-Sep-01,39,5,45000,,Heavy rain,1,557928.11,7.3,34.4277,14.9967
Yemen,"Provinces: Hejja, Huggah. town: Abass",05-Aug-01,05-Aug-01,1,11,0,,Heavy rain,1,4207.18,3.6,44.0332,16.378
North Korea,"Kangwon Province - Phyonggang County. Kaesong city South Hwanghae Province - Unchon, Paechon and Yonan counties",01-Aug-01,04-Aug-01,4,0,10000,,Heavy rain,1,5048.01,4.3,126.694,38.1066
USA,"Eastern Kentucky - Counties: Pike, Floyd and Perry. Towns: Pikeville, Boldman. Creeks: Hurricane, Island, Robinson, Indian, Branham Mud, Left Beaver Northeast Tennesse - Greene County. Horse and Lower Paint creeks. Greeneville",03-Aug-01,04-Aug-01,2,2,100,,Heavy rain,1,19308.47,4.6,-83.0259,37.0795
Nigeria,Talata Marafa area of Zamfara State,22-Jul-01,22-Jul-01,1,0,3802,,Heavy rain,1,1064.62,3,6.16667,12.5291
Indonesia,Central Sulawesi plain of Toili. Minahaki ,31-Jul-01,01-Aug-01,2,1,3000,,Heavy rain,1,2398.54,3.7,122.413,-1.31485
Bangladesh,"Bangldesh - Districts:Sylhet, Moulavibazar, Sunamganj, Netrokona, Chapainawabganj, Kurigram, Sirajganj, Rajshahi, Nilphamari, Rangpur, Lalmonirhat. Rivers: Dhalai, Surma, Dharla, Ganges and Brahmaputra, Padma and Mahananda. India - Bihar State - Districts: East and West Champaran, Gopalganj, Sitamarhi, Madhubani, Darbhanga, Samastipur, Saran, Siwan. Rivers: Gandak, Bagmati, Kamala Balan, Ganga, Koshi, Barhi Gandak, Sikarahana. West Bengal State - Calcutta area. Rivers: Ganga, Mahananda and Fulahar. Assam State - Districts: Morigaon, Goalpara, Dhemaji, Jorhat, Kamrup, Barpeta, Darrang, Nalbari, Lakhimpur, Dhubri, Nagaon and Bongaigaon. Brahmaputra River.",31-Jul-01,01-Sep-01,33,36,2750000,"2,000,000",Monsoonal rain,1,190726.68,6.8,89.5736,25.9309
Indonesia,"North Sumatra province. Nias Island - Lahusa district. Villages: Lahusa, Telukdalam, Lolamatoi, Sambulu, Bawolato",31-Jul-01,01-Aug-01,2,108,1500,,Heavy rain,2,1267.27,3.7,97.7536,0.81588
Nepal,"Districts: Myadi, Kailali, Myagdi, Baglung and Nawalparasi. Villages: Arman , Ratamata, Tikapur Municipality. Karnali river",29-Jul-01,01-Aug-01,4,20,100,"1,500,000",Monsoonal rain,1,1303.73,3.7,81.6241,29.2973
South Korea,"Kyonggi province, Incheon.Seoul suburbs.",29-Jul-01,30-Jul-01,2,3,12000,,Brief torrential rain,1,2231.31,3.6,127.063,37.4727
Taiwan,"Hualien county - Kuangfu and Fenglin Nantou county - Nantou city. Shuili, Hsinyi Changhua, Taichung, Chiayi, eastern Taitung and Miaoli counties",29-Jul-01,30-Jul-01,2,78,0,"20,000,000",Tropical cyclone,2,3947.08,4.2,121.341,23.5108
USA,West Virginia - Davy in McDowell County. Logan County along Buffalo Creek. Tucker County. Wyoming County southwest Virginia- Scott and Wise counties. Clinch River and the Holston River,29-Jul-01,29-Jul-01,1,2,300,,Heavy rain,1,14006.98,4.1,-81.566,37.3243
Yemen,"Provinces of Hadramut, Saad, Hudayda, Ibb, Omran, Hodeida",26-Jul-01,29-Jul-01,4,20,0,,Brief torrential rain,1,10853.46,4.6,44.1874,14.5594
China,Gansu Province -Min district. Mawu and Suolong townships.,25-Jul-01,26-Jul-01,2,30,0,,Heavy rain,2,6806.28,4.4,104.681,34.3591
